,股票代码,股票名称,涨跌幅,最新价,最高,最低,今开,涨跌额,换手率,量比,动态市盈率,成交量,成交额,昨日收盘,总市值,流通市值,行情ID,市场类型
4384,600429,三元股份,-3.97,4.6,4.7,4.56,4.7,-0.19,0.6,0.79,41.4,90277,41846871.0,4.79,6888764160,6888764160,1.600429,沪A
4385,600198,大唐电信,-3.97,6.53,6.71,6.44,6.62,-0.27,1.44,0.65,-49.46,126700,83241199.0,6.8,8578519156,5749369420,1.600198,沪A
4386,002542,中化岩土,-3.97,2.66,2.71,2.58,2.67,-0.11,1.76,0.76,-73.59,277214,73797000.0,2.77,4802603775,4181398443,0.002542,深A
4387,601512,中新集团,-3.97,8.46,8.64,8.4,8.63,-0.35,0.65,0.82,5.32,51888,44167746.0,8.81,12680609400,6746088600,1.601512,沪A
4388,000718,苏宁环球,-3.98,3.38,3.47,3.37,3.43,-0.14,0.96,0.63,19.33,220390,75173196.0,3.52,10257070978,7739369270,0.000718,深A
4389,301080,百普赛斯,-3.99,134.4,139.8,133.94,136.98,-5.58,1.38,0.61,50.24,2769,37846968.0,139.98,10752000000,2688000000,0.301080,深A
4390,300454,深信服,-3.99,88.52,91.99,88.0,90.09,-3.68,0.56,0.45,-17.77,15130,135223894.0,92.2,36793482111,23953304244,0.300454,深A
4391,605108,同庆楼,-4.0,16.33,16.83,16.18,16.5,-0.68,2.99,0.35,46.55,24417,40125153.0,17.01,4245800000,1333423733,1.605108,沪A
4392,000807,云铝股份,-4.01,10.06,10.22,10.0,10.14,-0.42,1.94,0.62,7.76,545583,550861968.0,10.48,34887651494,28309929639,0.000807,深A
4393,603993,洛阳钼业,-4.01,4.55,4.62,4.51,4.6,-0.19,0.59,0.73,13.71,1042418,475703872.0,4.74,98276544653,80379265253,1.603993,沪A
4394,601800,中国交建,-4.01,10.29,10.67,10.12,10.4,-0.43,0.79,0.63,8.16,928045,960242448.0,10.72,166345170563,120879052523,1.601800,沪A
