,股票代码,股票名称,涨跌幅,最新价,最高,最低,今开,涨跌额,换手率,量比,动态市盈率,成交量,成交额,昨日收盘,总市值,流通市值,行情ID,市场类型
1140,PEB,Pebblebrook Hotel Trust,1.3,23.46,24.02,22.72,22.96,0.3,1.24,0.86,-18.81,1626512,38242087.0,23.16,3081503234,3081503234,106.PEB,美股
1141,IBM,IBM国际商业机器(US),1.29,137.67,137.99,135.47,135.47,1.75,0.81,1.47,22.43,7306396,1000835328.0,135.92,123825261193,123825261193,106.IBM,美股
1142,SIGI,Selective Insurance Group Inc,1.29,81.11,81.72,79.48,79.48,1.03,0.66,1.18,12.12,399385,32270075.0,80.08,4895264193,4895264193,105.SIGI,美股
1144,ZME,掌门教育,1.28,0.79,0.8,0.75,0.76,0.01,0.14,0.55,-0.09,27515,21541.0,0.78,15804201,15804201,106.ZME,美股
1147,TRMB,天宝导航,1.28,64.08,65.67,59.89,62.39,0.81,0.67,1.45,32.81,1672462,106619589.0,63.27,16029129606,16029129606,105.TRMB,美股
1148,CMT,Core Molding Technologies Inc,1.28,10.29,10.29,9.88,10.07,0.13,0.13,1.72,19.17,11295,113871.0,10.16,89544702,89544702,107.CMT,美股
1149,BWAY,Brainsway Ltd ADR,1.28,7.13,7.16,6.85,6.92,0.09,0.01,0.22,-18.18,2418,16893.0,7.04,117501986,117501986,105.BWAY,美股
1150,EPD,Enterprise Products Partners LP,1.28,26.95,26.96,26.12,26.71,0.34,0.32,0.95,12.77,6919452,184565651.0,26.61,58653429870,58653429870,106.EPD,美股
1151,RNLX,Renalytix AI plc ADR,1.28,4.76,4.86,4.47,4.68,0.06,0.22,0.87,-4.73,82969,382480.0,4.7,177875531,177875531,105.RNLX,美股
1152,BEEM,Beam Global,1.27,18.32,18.68,17.2,18.12,0.23,1.95,0.89,-27.97,196018,3519440.0,18.09,184508726,184508726,105.BEEM,美股
1155,PCXCU,Parsec Capital Acquisitions Cor,1.27,10.39,10.39,10.26,10.26,0.13,0.04,0.9,-,3310,33987.0,10.26,89613750,89613750,105.PCXCU,美股
1156,CAJ,佳能,1.27,23.18,23.43,23.03,23.43,0.29,0.04,1.26,13.18,369253,8550963.0,22.89,24240989374,24240989374,106.CAJ,美股
1157,SBGI,辛克莱广播,1.27,23.98,24.19,23.42,23.73,0.3,1.77,1.41,-4.17,1277562,30500466.0,23.68,1727453207,1727453207,105.SBGI,美股
1158,WKSP,Worksport Ltd,1.27,2.4,2.45,2.27,2.33,0.03,0.58,1.44,-5.15,97977,232092.0,2.37,40706988,40706988,105.WKSP,美股
